t0,t1,t2,t3,t4,t5
1.695266667574126251e-01,1.797195436070890273e-01,1.909520150825321505e-01,1.801220834297510009e-01,9.048532038116327003e-01,3.752569801450953690e+01
1.821922623614143921e-01,1.766835747189641481e-01,1.877262981388994056e-01,1.935792787590027431e-01,9.091448169713727268e-01,3.769848554500488547e+01
1.936205974472824942e-01,1.753641387851397060e-01,1.863243974592111163e-01,2.057218847877375356e-01,9.136501648510911844e-01,3.788178977214644760e+01
2.002870862008853392e-01,1.744544927604863294e-01,1.853578985580169036e-01,2.128050290884407336e-01,9.181353020743876492e-01,3.808368170036953160e+01
2.064182424761105972e-01,1.738475303201349187e-01,1.847130009651432869e-01,2.193193826308678651e-01,9.217250942320674989e-01,3.828394280259364990e+01
2.116053736672809382e-01,1.730482644517554458e-01,1.838637809799900380e-01,2.248307095214858442e-01,9.248077072846286883e-01,3.848556195732985685e+01
2.174861411572149017e-01,1.720953649699986376e-01,1.828513252806236167e-01,2.310790249795408591e-01,9.254413194125089559e-01,3.870344076855981541e+01
2.229456667275048487e-01,1.718635293154097132e-01,1.826049998976226885e-01,2.368797708979736849e-01,9.259231327795253153e-01,3.890771852436134992e+01
2.284170071565250204e-01,1.730940245982739711e-01,1.839124011356660926e-01,2.426930701038078619e-01,9.262243236611799047e-01,3.908859258274701887e+01
2.311696883782371481e-01,1.724579951266052014e-01,1.832366198220180264e-01,2.456177939018768797e-01,9.246496610148864370e-01,3.932632264692814061e+01
2.332324392759138609e-01,1.714059054132247850e-01,1.821187745015514226e-01,2.478094667306585952e-01,9.226577219047094047e-01,3.960532176046746855e+01
2.317434485982640680e-01,1.704283483464532900e-01,1.810801201181067022e-01,2.462274141356555202e-01,9.210282392756041769e-01,3.989135564967422454e+01
2.282314380841662937e-01,1.702581192302375923e-01,1.808992516821274210e-01,2.424959029644268571e-01,9.197298453663309559e-01,4.018939351090362777e+01
2.244389322796224440e-01,1.695382563880159787e-01,1.801343974122670555e-01,2.384663655470990185e-01,9.189981620618474789e-01,4.046606233581211853e+01
2.215030670037425597e-01,1.682822738988129507e-01,1.787999160174888469e-01,2.353470086914765669e-01,9.184718043712079005e-01,4.076127651664546647e+01
2.203585805382558271e-01,1.669559495663128501e-01,1.773906964142074050e-01,2.341309918218967279e-01,9.174427877869734127e-01,4.112296534143751359e+01
2.204171902279143669e-01,1.659852008705914872e-01,1.763592759250035003e-01,2.341932646171590859e-01,9.161506514625585851e-01,4.151442136840972097e+01
2.230134181894917744e-01,1.656647502689310436e-01,1.760187971607392321e-01,2.369517568263350693e-01,9.141957387802550627e-01,4.188177519388244718e+01
2.285848600889706650e-01,1.644382749785198161e-01,1.747156671646773185e-01,2.428714138445313975e-01,9.117676043266017549e-01,4.223360852099605722e+01
2.357585122854634896e-01,1.642233093445449876e-01,1.744872661785792367e-01,2.504934193033048762e-01,9.083312124025860745e-01,4.258515328301206182e+01
2.371306844901675814e-01,1.646162221557964933e-01,1.749047360405337481e-01,2.519513522708031195e-01,9.051126125461548266e-01,4.280343447570523097e+01
2.383476923843165229e-01,1.644566625503369739e-01,1.747352039597330764e-01,2.532444231583361183e-01,9.023474081073414865e-01,4.299047980008324998e+01
2.429737860193868504e-01,1.656718482603059817e-01,1.760263387765751697e-01,2.581596476455984002e-01,8.986054486569691191e-01,4.316358640635476718e+01
2.515717909202390690e-01,1.677681311417799359e-01,1.782536393381413120e-01,2.672950278527538304e-01,8.942442166548131288e-01,4.339010509155483675e+01
2.575761869736101217e-01,1.693406032545724804e-01,1.799243909579832934e-01,2.736746986594608133e-01,8.901140410324374086e-01,4.367200925121399280e+01
2.620027655380081089e-01,1.707564869932647611e-01,1.814287674303438902e-01,2.783779383841334942e-01,8.868131289825689212e-01,4.394899579032520620e+01
2.664144480738333542e-01,1.712351696741548635e-01,1.819373677787896326e-01,2.830653510784478799e-01,8.835898269073129141e-01,4.423574678798927096e+01
2.697978784778889416e-01,1.723538029808002747e-01,1.831259156671003752e-01,2.866602458827569033e-01,8.804903932129379829e-01,4.454830290461991638e+01
2.731700794475235838e-01,1.737311243323172993e-01,1.845893196030872485e-01,2.902432094129937523e-01,8.782721334658878387e-01,4.481575472806139260e+01
2.754134267423464233e-01,1.743774409135416259e-01,1.852760309706380226e-01,2.926267659137431476e-01,8.758661731793803140e-01,4.511935721938345978e+01
2.767209910704606646e-01,1.749404368692073775e-01,1.858742141735327813e-01,2.940160530123646643e-01,8.729638403873268837e-01,4.543361567193650075e+01
2.773799119466122676e-01,1.754744954281177716e-01,1.864416513923752017e-01,2.947161564432754788e-01,8.699759753735035739e-01,4.582711639273397708e+01
