time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.916667,2.007090,2.008880,2.031194,2.014407,2.005958,1.986110,2.001467,1.952237,0.169124,0.079784,0.034647,0.072797,0.161992,0.235531,0.875531,1.650186,0.956125
1.933333,2.006792,2.008887,2.031686,2.014246,2.006024,1.985762,2.001429,1.952068,0.166546,0.080428,0.034693,0.073218,0.159836,0.224549,0.886195,1.642248,0.930394
1.950000,2.006717,2.008872,2.032056,2.014009,2.006085,1.985423,2.001388,1.951248,0.164268,0.081022,0.034699,0.073613,0.157297,0.214919,0.894980,1.637015,0.895689
1.966667,2.006823,2.008856,2.032536,2.013717,2.006146,1.985087,2.001351,1.950315,0.162330,0.081601,0.034683,0.073978,0.154849,0.207746,0.902634,1.635832,0.855723
1.983333,2.006915,2.008800,2.033123,2.013352,2.006211,1.984751,2.001319,1.949593,0.160721,0.082125,0.034760,0.074293,0.152651,0.200775,0.904728,1.638021,0.811751
2.000000,2.007061,2.008665,2.033791,2.012994,2.006267,1.984412,2.001293,1.948950,0.159378,0.082637,0.034859,0.074580,0.150595,0.197357,0.899970,1.642861,0.769933
2.016667,2.007218,2.008483,2.034226,2.012720,2.006297,1.984072,2.001274,1.948346,0.158264,0.083083,0.035048,0.074820,0.148668,0.195928,0.890287,1.642051,0.738098
2.033333,2.007378,2.008307,2.034452,2.012465,2.006321,1.983722,2.001263,1.947888,0.157305,0.083448,0.035347,0.074986,0.146925,0.195493,0.877075,1.636076,0.709786
2.050000,2.007541,2.008168,2.034362,2.012244,2.006339,1.983375,2.001258,1.947421,0.156457,0.083791,0.035779,0.075134,0.145286,0.195553,0.862931,1.623311,0.684344
2.066667,2.007662,2.008008,2.034417,2.012036,2.006351,1.983036,2.001261,1.946963,0.155692,0.084104,0.036072,0.075268,0.143761,0.195747,0.848687,1.615458,0.662609
2.083333,2.007730,2.007822,2.034442,2.011872,2.006357,1.982702,2.001269,1.946175,0.155004,0.084395,0.036298,0.075395,0.142264,0.195914,0.834569,1.610345,0.643914
2.100000,2.007778,2.007653,2.034581,2.011688,2.006361,1.982371,2.001282,1.945283,0.154390,0.084663,0.036466,0.075513,0.140864,0.196062,0.820881,1.608334,0.627618
2.116667,2.007816,2.007504,2.034764,2.011520,2.006362,1.982038,2.001299,1.944391,0.153870,0.084881,0.036591,0.075608,0.139618,0.196168,0.809728,1.606964,0.613432
2.133333,2.007858,2.007366,2.034959,2.011385,2.006357,1.981690,2.001319,1.943653,0.153486,0.085000,0.036691,0.075651,0.138587,0.196222,0.801257,1.606123,0.601231
2.150000,2.007894,2.007216,2.035108,2.011351,2.006239,1.981377,2.001341,1.942971,0.150427,0.085531,0.036714,0.075816,0.137681,0.196253,0.793508,1.606896,0.597969
2.166667,2.007926,2.007085,2.035295,2.011309,2.006141,1.981096,2.001365,1.942367,0.147942,0.086010,0.036730,0.075963,0.136900,0.196257,0.787814,1.608403,0.593285
2.183333,2.007953,2.006973,2.035493,2.011259,2.006084,1.980851,2.001387,1.941850,0.146525,0.086325,0.036731,0.076060,0.136244,0.196248,0.782848,1.610780,0.587494
2.200000,2.007976,2.006879,2.035651,2.011204,2.006050,1.980648,2.001408,1.941431,0.145709,0.086532,0.036732,0.076126,0.135715,0.196232,0.779203,1.612695,0.581841
2.216667,2.007995,2.006808,2.035802,2.011154,2.006030,1.980492,2.001424,1.941119,0.145220,0.086673,0.036733,0.076171,0.135314,0.196216,0.776509,1.614424,0.577045
2.233333,2.008008,2.006763,2.035906,2.011117,2.006017,1.980382,2.001435,1.940910,0.144920,0.086768,0.036738,0.076202,0.135041,0.196208,0.774728,1.615472,0.573395
2.250000,2.008018,2.006742,2.035956,2.011094,2.006009,1.980321,2.001440,1.940796,0.144737,0.086827,0.036746,0.076221,0.134887,0.196211,0.773677,1.615816,0.571046
2.266667,2.008024,2.006732,2.035981,2.011081,2.006005,1.980289,2.001443,1.940736,0.144637,0.086860,0.036751,0.076232,0.134806,0.196216,0.773115,1.615956,0.569776
2.283333,2.008027,2.006726,2.035995,2.011074,2.006003,1.980272,2.001445,1.940704,0.144585,0.086877,0.036753,0.076237,0.134763,0.196221,0.772816,1.616034,0.569102
2.300000,2.008029,2.006723,2.036002,2.011071,2.006001,1.980263,2.001445,1.940687,0.144557,0.086886,0.036755,0.076240,0.134740,0.196224,0.772657,1.616079,0.568748
2.316667,2.008030,2.006722,2.036006,2.011069,2.006001,1.980258,2.001446,1.940678,0.144544,0.086890,0.036755,0.076241,0.134729,0.196228,0.772574,1.616104,0.568567
2.333333,2.008030,2.006721,2.036008,2.011068,2.006001,1.980255,2.001446,1.940674,0.144537,0.086892,0.036756,0.076241,0.134723,0.196231,0.772532,1.616119,0.568476
2.350000,2.008032,2.006729,2.036009,2.011068,2.006000,1.980254,2.001446,1.940674,0.144534,0.086893,0.036756,0.076242,0.134724,0.196227,0.772843,1.616129,0.568435
2.366667,2.008038,2.006756,2.036009,2.011068,2.006000,1.980253,2.001446,1.940679,0.144533,0.086893,0.036755,0.076243,0.134733,0.196210,0.773965,1.616136,0.568418
2.383333,2.008045,2.006787,2.036010,2.011067,2.006000,1.980253,2.001446,1.940686,0.144533,0.086892,0.036755,0.076245,0.134744,0.196200,0.775221,1.616143,0.568415
2.400000,2.008054,2.006822,2.036010,2.011067,2.005999,1.980253,2.001446,1.940694,0.144533,0.086891,0.036755,0.076246,0.134757,0.196204,0.776587,1.616149,0.568418
2.416667,2.008064,2.006867,2.036012,2.011081,2.006005,1.980252,2.001445,1.940702,0.144539,0.086886,0.036811,0.076246,0.134770,0.196229,0.778082,1.616169,0.571151
2.433333,2.008074,2.006944,2.036023,2.011145,2.006039,1.980251,2.001444,1.940711,0.144573,0.086866,0.037103,0.076236,0.134782,0.196286,0.779795,1.616249,0.584672
2.450000,2.008086,2.007025,2.036035,2.011205,2.006073,1.980249,2.001442,1.940720,0.144606,0.086848,0.037405,0.076227,0.134795,0.196376,0.781560,1.616330,0.597780
2.466667,2.008110,2.007527,2.035902,2.011267,2.006113,1.980247,2.001440,1.940737,0.144653,0.086839,0.037450,0.076217,0.134819,0.196607,0.796281,1.611580,0.612181
2.483333,2.008134,2.008326,2.035700,2.011329,2.006157,1.980243,2.001441,1.940778,0.144711,0.086832,0.037194,0.076171,0.135372,0.196730,0.824882,1.604560,0.627176
2.500000,2.008174,2.009236,2.035324,2.011385,2.006190,1.980274,2.001557,1.939513,0.144742,0.086807,0.037135,0.076066,0.136599,0.196346,0.845068,1.591011,0.640189
2.516667,2.008215,2.010080,2.034610,2.011431,2.006208,1.980349,2.001703,1.937906,0.144738,0.086773,0.037198,0.075946,0.138053,0.195782,0.861303,1.572210,0.651580
2.533333,2.008252,2.010818,2.033966,2.011469,2.006229,1.980383,2.001822,1.936466,0.144757,0.086745,0.037261,0.075824,0.139571,0.195162,0.875681,1.554581,0.661488
2.550000,2.008259,2.011355,2.033410,2.011499,2.006250,1.980392,2.001933,1.935081,0.144785,0.086702,0.037354,0.075636,0.142184,0.193905,0.888175,1.539156,0.670082
